H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.11,mixed_fbm,500,250,0.2,0.004,both,17.438768,12.118838,37.409196
0.82,mixed_fbm,250,125,1.0,0.008,both,0.021064,0.12263,0.293662
0.59,fbm,500,500,1.0,1.0,both,,0.436163,4.570895
0.83,mixed_fbm,250,125,1.0,0.008,both,0.020115,0.122583,0.282295
0.6,fbm,500,500,1.0,1.0,both,,0.530463,5.56578
0.84,mixed_fbm,250,125,1.0,0.008,both,0.019237,0.122408,0.270785
0.61,fbm,500,500,1.0,1.0,both,,0.632726,6.643634
0.85,mixed_fbm,250,125,1.0,0.008,both,0.018423,0.122118,0.259217
0.01,fbm,1250,1250,1.0,1.0,both,,813.273326,1904.727883
0.62,fbm,500,500,1.0,1.0,both,,0.742739,7.801171
0.86,mixed_fbm,250,125,1.0,0.008,both,0.017672,0.121727,0.247662
0.12,mixed_fbm,500,250,0.2,0.004,both,15.055242,10.395614,33.412389
0.87,mixed_fbm,250,125,1.0,0.008,both,0.016977,0.121247,0.236185
0.63,fbm,500,500,1.0,1.0,both,,0.86032,9.035286
0.88,mixed_fbm,250,125,1.0,0.008,both,0.016335,0.120688,0.224843
0.64,fbm,500,500,1.0,1.0,both,,0.985305,10.343047
0.89,mixed_fbm,250,125,1.0,0.008,both,0.015742,0.120061,0.213683
0.9,mixed_fbm,250,125,1.0,0.008,both,0.015195,0.119374,0.202747
0.13,mixed_fbm,500,250,0.2,0.004,both,12.921251,8.89691,29.755505
0.65,fbm,500,500,1.0,1.0,both,,1.117549,11.721679
0.91,mixed_fbm,250,125,1.0,0.008,both,0.014689,0.118637,0.19207
0.66,fbm,500,500,1.0,1.0,both,,1.256926,13.168558
0.92,mixed_fbm,250,125,1.0,0.008,both,0.01422,0.117856,0.181679
