H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.68,fbm,1000,1000,1.0,1.0,both,,,32.475261
0.51,fbm,1250,1250,1.0,1.0,both,,,0.159257
0.69,fbm,1000,1000,1.0,1.0,both,,,35.740008
0.52,fbm,1250,1250,1.0,1.0,both,,,0.626967
0.35,fbm,1500,1500,1.0,1.0,both,,,57.852658
0.7,fbm,1000,1000,1.0,1.0,both,,,39.121813
0.11,mixed_fbm,250,125,0.2,0.008,both,5.178513,5.246902,
0.71,fbm,1000,1000,1.0,1.0,both,,,42.616641
0.36,fbm,1500,1500,1.0,1.0,both,,,49.345059
0.53,fbm,1250,1250,1.0,1.0,both,,,1.388748
0.72,fbm,1000,1000,1.0,1.0,both,,,46.220666
0.73,fbm,1000,1000,1.0,1.0,both,,,49.930257
0.54,fbm,1250,1250,1.0,1.0,both,,,2.431106
0.04,mixed_fbm,250,125,5.0,0.008,both,91.103587,44.774757,
0.37,fbm,1500,1500,1.0,1.0,both,,,41.675949
0.08,mixed_fbm,250,125,1.0,0.008,both,44.435239,22.752154,
